"Team","N","TotalGuar","AvgGuar","MedGuar","StdDevGuar"
"TOR",29,22552040.22,777656.559310345,109633,1891699.33927594
"NYC",30,18108132.39,603604.413,119528.54,1449690.57038793
"ORL",31,14584737.37,470475.399032258,150000,1263713.93992296
"LAG",29,14358892,495134.206896552,115000,1084615.18943183
"CHI",30,13089573.84,436319.128,116512.5,1008917.17306179
"SEA",27,11820248.81,437786.992962963,144999.96,799530.098864254
"POR",29,11369315.18,392045.351034483,155600,572755.266488806
"ATL",32,9395516.26,293609.883125,150000,437096.835862304
"RSL",29,8581167.92,295902.342068965,145394,400507.229270625
"SJE",30,8444246.14,281474.871333333,180496,298370.001926808
"VAN",34,8441386.15,248276.063235294,157000,332193.967525562
"COL",26,8256505.21,317557.892692308,115812.5,565640.025652281
"NER",26,7496217.04,288316.04,152000,280626.594168077
"FCD",31,7345390.1,236948.067741935,152500,226012.290501797
"NYRB",30,7287062.08,242902.069333333,107504,318726.297840388
"PHI",32,7178431.7,224325.990625,132083.315,255067.967988299
"CLB",28,6771044.99,241823.035357143,107710.335,264815.10105818
"MTL",29,6324616.29,218090.216896552,123333.33,204003.52586112
"SKC",30,6303446.11,210114.870333333,114025,239238.817256374
"HOU",30,5771645.65,192388.188333333,177500,153964.41654609
"MIN",30,5753434.88,191781.162666667,173937.52,127446.31109843
"DCU",28,5416549.07,193448.181071429,120000,152439.776476931
"LAFC",3,218007.96,72669.32,65004,24417.6762225073
"NONE",1,53004,53004,53004,NA
