"First","Last","Keeper","Team","Season","Min","Shots","Goals","Saves","Header%","Dist","xG","G-xG","Goals/Shot","xG/Shot","G-xG/Shot","Comp ($K)","Min/96","Shots/96","Goals/96","Saves/96","Header%/96","Dist/96","xG/96","G-xG/96","Comp ($K)/96","extreme1","extreme2","plotnames"
"Tim","Melia","Tim Melia","SKC",2017,2935,114,23,91,0.175438596491228,18.8605535468756,36.292,-13.2921251350753,0.201754385964912,0.318351974869081,-0.116597588904169,167.5,2935,3.72879045996593,0.752299829642249,2.97649063032368,0.175438596491228,18.8605535468756,1.18706780680314,-0.434767977160894,167.5,271,216,"Melia 2017"
"Stefan","Frei","Stefan Frei","SEA",2018,3178,146,33,113,0.157534246575342,19.4972315021623,45.584,-12.5843033803097,0.226027397260274,0.312221256029519,-0.0861938587692448,262.50008,3178,4.41032095657646,0.99685336689742,3.41346758967904,0.157534246575342,19.4972315021623,1.37699594855561,-0.380142581658192,262.50008,349,261,"Frei 2018"
"Matt","Turner","Matt Turner","NER",2019,1904,116,28,88,0.120689655172414,17.5216804140396,38.67,-10.6702309752692,0.241379310344828,0.333364060131631,-0.0919847497868033,75.938,1904,5.84873949579832,1.41176470588235,4.43697478991597,0.120689655172414,17.5216804140396,1.94975954497156,-0.537994839089203,75.938,297,232,"Turner 2019"
"Bill","Hamid","Bill Hamid","DCU",2014,NA,144,34,110,0.131944444444444,18.4343317483819,44.132,-10.1321543982326,0.236111111111111,0.30647329443217,-0.0703621833210594,114.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,265,"Hamid 2014"
"Luis","Robles","Luis Robles","NYRB",2013,NA,142,39,103,0.0915492957746479,19.2756084967887,48.273,-9.2732822080454,0.274647887323944,0.339952691605954,-0.0653048042820099,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,359,305,"Robles 2013"
"Nick","Rimando","Nick Rimando","RSL",2015,2295,89,23,66,0.213483146067416,15.8537427522752,31.734,-8.73398043058593,0.258426966292135,0.356561577871752,-0.0981346115796172,370,2295,3.72287581699346,0.962091503267974,2.76078431372549,0.213483146067416,15.8537427522752,1.32743447552778,-0.365342972259804,370,247,212,"Rimando 2015"
"Steve","Clark","Steve Clark","POR",2019,2365,108,24,84,0.157407407407407,18.7882851637557,32.547,-8.54667691145539,0.222222222222222,0.301358119550513,-0.0791358973282907,140,2365,4.38393234672304,0.974207188160677,3.40972515856237,0.157407407407407,18.7882851637557,1.32113360824512,-0.346926420084447,140,255,219,"Clark 2019"
"Dan","Kennedy","Dan Kennedy","CHV",2011,NA,136,36,100,0.183823529411765,19.4749531700294,43.77,-7.77037773165499,0.264705882352941,0.321841012732757,-0.0571351303798161,62.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,284,"Kennedy 2011"
"Nick","Rimando","Nick Rimando","RSL",2014,NA,96,25,71,0.166666666666667,18.2614273690937,32.236,-7.23584580217541,0.260416666666667,0.335790060439327,-0.0753733937726605,235.83333,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,223,"Rimando 2014"
"Michael","Gspurning","Michael Gspurning","SEA",2012,NA,74,15,59,0.175675675675676,19.5242440993108,22.05,-7.05007524523591,0.202702702702703,0.297973989800485,-0.0952712870977826,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,180,"Gspurning 2012"
"Andy","Gruenebaum","Andy Gruenebaum","CLB",2012,NA,164,40,124,0.182926829268293,20.51248094,46.994,-6.9935808648592,0.24390243902439,0.286546224785727,-0.0426437857613366,78.66667,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,309,"Gruenebaum 2012"
"Stefan","Frei","Stefan Frei","SEA",2015,2891,144,33,111,0.173611111111111,19.9196385857677,39.829,-6.82887969005104,0.229166666666667,0.276589442292021,-0.0474227756253544,165,2891,4.78173642338291,1.09581459702525,3.68592182635766,0.173611111111111,19.9196385857677,1.32257781053092,-0.226763213505673,165,305,258,"Frei 2015"
"Nick","Rimando","Nick Rimando","RSL",2013,NA,110,28,82,0.190909090909091,18.1643428585909,34.687,-6.68653609786806,0.254545454545455,0.315332146344255,-0.0607866917988005,210.83333,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,238,"Rimando 2013"
"Jon","Busch","Jon Busch","SJE",2011,NA,157,44,113,0.146496815286624,20.9286878175223,50.431,-6.43051621557042,0.280254777070064,0.321213479080066,-0.0409587020100027,151.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,340,"Busch 2011"
"Jon","Busch","Jon Busch","SJE",2014,NA,187,49,138,0.133689839572193,19.2272238664332,55.14,-6.14048583902438,0.262032085561497,0.294868908230077,-0.0328368226685796,184.58333,NA,NA,NA,NA,NA,NA,NA,NA,NA,383,362,"Busch 2014"
"Evan","Bush","Evan Bush","MTL",2018,3257,182,50,132,0.203296703296703,17.446624853327,56.073,-6.07349103063484,0.274725274725275,0.308096104563928,-0.033370829838653,157.925,3257,5.36444580902671,1.47374884863371,3.890696960393,0.203296703296703,17.446624853327,1.65276485690542,-0.179016008271705,157.925,385,368,"Bush 2018"
"Donovan","Ricketts","Donovan Ricketts","POR",2013,NA,123,31,92,0.24390243902439,18.4332864431057,36.92,-5.92034476317387,0.252032520325203,0.300165404578649,-0.0481328842534461,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,278,250,"Ricketts 2013"
"Bill","Hamid","Bill Hamid","DCU",2015,2372,130,29,101,0.123076923076923,18.6801423898993,34.875,-5.87497163488671,0.223076923076923,0.268269012576052,-0.0451920894991285,405.5,2372,5.26138279932546,1.17369308600337,4.08768971332209,0.123076923076923,18.6801423898993,1.41146596835966,-0.237772882356292,405.5,268,242,"Hamid 2015"
"Steve","Clark","Steve Clark","CLB",2014,NA,150,40,110,0.133333333333333,19.1189221342267,45.869,-5.86875180158906,0.266666666666667,0.30579167867726,-0.0391250120105937,138.33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,310,"Clark 2014"
"Jimmy","Nielsen","Jimmy Nielsen","SKC",2012,NA,102,25,77,0.166666666666667,19.2381990105588,30.819,-5.8191769157291,0.245098039215686,0.302148793291462,-0.0570507540757755,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,222,"Nielsen 2012"
"Sean","Johnson","Sean Johnson","CHI",2012,NA,143,35,108,0.202797202797203,19.7848091971259,40.661,-5.66059076867035,0.244755244755245,0.284339795585107,-0.0395845508298626,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,273,"Johnson 2012"
"Matt","Turner","Matt Turner","NER",2018,2592,124,40,84,0.17741935483871,17.56217501965,45.527,-5.52739776423446,0.32258064516129,0.367156433582536,-0.0445757884212457,67.5,2592,4.59259259259259,1.48148148148148,3.11111111111111,0.17741935483871,17.56217501965,1.68619991719387,-0.204718435712388,67.5,348,308,"Turner 2018"
"David","Ousted","David Ousted","VAN",2015,3246,135,36,99,0.125925925925926,18.5914785623605,41.435,-5.43529927024869,0.266666666666667,0.306928142742583,-0.0402614760759162,302.57,3246,3.99260628465804,1.06469500924214,2.9279112754159,0.125925925925926,18.5914785623605,1.22544323165246,-0.160748222410312,302.57,320,281,"Ousted 2015"
"Matt","Reis","Matt Reis","NER",2011,NA,152,41,111,0.171052631578947,19.7342373148882,46.401,-5.40093060035325,0.269736842105263,0.305269280265482,-0.0355324381602187,191.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,319,"Reis 2011"
"Luis","Robles","Luis Robles","NYRB",2018,2989,113,29,84,0.185840707964602,17.9365538301588,34.397,-5.39655343981238,0.256637168141593,0.304394278228428,-0.0477571100868352,460.00008,2989,3.62930746068919,0.93141518902643,2.69789227166276,0.185840707964602,17.9365538301588,1.10474042496554,-0.173325235939106,460.00008,265,239,"Robles 2018"
"Tyler","Deric","Tyler Deric","HOU",2016,811,45,7,38,0.177777777777778,17.3659868433904,12.307,-5.30681313811888,0.155555555555556,0.273484736402642,-0.117929180847086,170,811,5.32675709001233,0.828606658446362,4.49815043156597,0.177777777777778,17.3659868433904,1.45678675864293,-0.628180100196563,170,162,112,"Deric 2016"
"David","Bingham","David Bingham","SJE",2016,3187,143,37,106,0.174825174825175,18.2737526072107,42.183,-5.18254237809205,0.258741258741259,0.294982813832811,-0.0362415550915528,152.75,3187,4.30749921556323,1.11452776906181,3.19297144650141,0.174825174825175,18.2737526072107,1.27063823918947,-0.156110470127655,152.75,327,286,"Bingham 2016"
"Tim","Melia","Tim Melia","SKC",2018,3301,145,39,106,0.0896551724137931,20.2622803885782,44.18,-5.17973858183184,0.268965517241379,0.304687852288495,-0.0357223350471161,316.66667,3301,4.2169039684944,1.13420175704332,3.08270221145108,0.0896551724137931,20.2622803885782,1.28483941346739,-0.15063765642407,316.66667,345,301,"Melia 2018"
"Donovan","Ricketts","Donovan Ricketts","LAG",2011,NA,52,11,41,0.230769230769231,18.893444682,15.95,-4.95002225707157,0.211538461538462,0.306731197251376,-0.0951927357129147,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,152,"Ricketts 2011"
"Bill","Hamid","Bill Hamid","DCU",2017,2281,130,32,98,0.176923076923077,18.7067353786435,36.791,-4.79108104527853,0.246153846153846,0.283008315732912,-0.0368544695790656,395.5,2281,5.47128452433143,1.3467777290662,4.12450679526523,0.176923076923077,18.7067353786435,1.54841901812658,-0.201641289060385,395.5,276,252,"Hamid 2017"
